Hotel,Stars, Price for this weekend (April 30 - May 03) , (May 07 - May 10) for 2 adults ,Percentage of price change next weekend,Average price for further weekend,Percentage of price change Avg. further weekend, (May 14 - May 17) for 2 adults , (May 21 - May 24) for 2 adults , (May 28 - May 31) for 2 adults , (Jun 04 - Jun 07) for 2 adults , (Jun 11 - Jun 14) for 2 adults , (Jun 18 - Jun 21) for 2 adults 
El Cortez Hotel & Casino,3, $ 518.00 , $ 138.00 ,73%, $ 165.29 ,68%, $ 177.00 , $ 252.00 , $ 110.00 , $ 110.00 , $ 110.00 , $ 260.00 
Sam's Town Hotel and Gambling Hall,3, $ 511.00 , $ 296.00 ,42%, $ 273.14 ,47%, $ 290.00 , $ 309.00 , $ 215.00 , $ 225.00 , $ 223.00 , $ 354.00 
Blair House Suites,2, $ 510.00 , $ 250.00 ,51%, $ 262.43 ,49%, $ 359.00 , $ 264.00 , $ 205.00 , $ 168.00 , $ 168.00 , $ 423.00 
Gold Spike Hotel and Casino,3, $ 497.00 , $ 197.00 ,60%, $ 264.17 ,47%, $ 297.00 ,, $ 324.00 , $ 181.00 , $ 156.00 , $ 430.00 
Golden Gate Hotel & Casino,3, $ 486.00 , $ 128.00 ,74%, $ 194.43 ,60%, $ 178.00 , $ 223.00 , $ 131.00 , $ 123.00 , $ 138.00 , $ 440.00 
Flamingo Las Vegas Hotel & Casino,3, $ 480.00 , $ 280.00 ,42%, $ 380.14 ,21%, $ 426.00 , $ 498.00 , $ 437.00 , $ 257.00 , $ 290.00 , $ 473.00 
Arizona Charlie's Boulder Casino Hotel,2, $ 476.00 , $ 181.00 ,62%, $ 190.43 ,60%, $ 223.00 , $ 225.00 , $ 148.00 , $ 128.00 , $ 167.00 , $ 261.00 
Harrah's Las Vegas Casino & Hotel,3, $ 453.00 , $ 293.00 ,35%, $ 367.71 ,19%, $ 452.00 , $ 415.00 , $ 448.00 , $ 291.00 , $ 283.00 , $ 392.00 
Circus Circus Hotel & Casino Las Vegas,3, $ 452.00 , $ 235.00 ,48%, $ 259.43 ,43%, $ 270.00 , $ 316.00 , $ 241.00 , $ 171.00 , $ 171.00 , $ 412.00 
BEST WESTERN Main Street Inn,2, $ 428.00 , $ 283.00 ,34%, $ 260.71 ,39%, $ 283.00 , $ 232.00 , $ 191.00 , $ 191.00 , $ 191.00 , $ 454.00 
Hooters Casino Hotel,3, $ 394.00 , $ 239.00 ,39%, $ 272.14 ,31%, $ 331.00 , $ 339.00 , $ 281.00 , $ 161.00 , $ 181.00 , $ 373.00 
Rio All Suite Hotel Las Vegas,4, $ 387.00 , $ 241.00 ,38%, $ 464.71 ,-20%, $ 370.00 , $ 343.00 , $ 725.00 , $ 330.00 , $ 424.00 , $ 820.00 
Hampton Inn Las Vegas - Summerlin,3, $ 351.00 , $ 331.00 ,6%, $ 374.29 ,-7%, $ 351.00 , $ 449.00 , $ 351.00 , $ 338.00 , $ 351.00 , $ 449.00 
Las Vegas Hostel,1, $ 280.00 , $ 135.00 ,52%, $ 162.43 ,42%, $ 127.00 , $ 128.00 , $ 128.00 , $ 136.00 , $ 136.00 , $ 347.00 
Hostel Cat Las Vegas,1, $ 272.00 , $ 166.00 ,39%, $ 127.33 ,53%, $ 166.00 , $ 126.00 , $ 98.00 , $ 104.00 , $ 104.00 ,
Eastside Cannery Casino & Hotel,4, $ 213.00 , $ 209.00 ,2%, $ 213.00 ,0%, $ 314.00 , $ 213.00 , $ 202.00 , $ 152.00 , $ 188.00 ,
