"Bilateral Remittance Estimates for 2014 using Migrant Stocks, Host Country Incomes, and Origin Country Incomes (millions of US$) (April 2015 Version)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remittance-receiving country (across) - Remittance-sending country (down),Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China","Macedonia, FYR",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe,World
Germany,22,40,21,,,,,5,43,,58,"1,112",33,,,14,,34,643,,2,,,4,211,,82,,113,0,0,,0,13,19,,,,,0,647,29,,1,,5,2,408,,,1,720,147,,,32,13,107,2,,,31,10,,,72,"2,074",,,11,57,,7,197,,,,5,2,,,1,4,,952,11,313,34,135,15,17,,67,"1,088",3,80,64,43,36,,,85,429,,248,0,46,969,,9,,,166,647,,69,3,,4,,2,4,,,,17,,70,,,46,297,,0,,10,243,,1,1,2,643,,35,,145,,2,,1,31,251,"2,328",307,,,451,685,1,,,,1,13,632,,3,,,247,174,,,15,,"1,060",213,,,,,,,,258,252,26,137,1,533,,21,,0,125,544,,,,9,347,,46,319,0,,,1,647,,,7,0,,"23,788"
Ghana,,,0,,,,,,,,0,,,,,,,,,,8,,,,,,0,,,7,,,,0,0,,,,,,1,,,0,,,16,,,,,,,,,,,0,,,,,0,,,,3,,,2,,,,,,,,,0,,,,,,,,3,,,,,,0,1,,0,,,0,,,,,,,,,11,,19,,,,,,,,,,,7,,,,,,,,,,,,,,,,0,,,,5,821,,,,0,,,,,,0,0,,,,,0,0,,,,,0,,,1,,,,,,,,,,0,,,,,0,,,,1,0,,0,,,89,,,,,,,,,,,1,2,,,,,,,,,,,"1,000"
Greece,0,494,0,,,,,0,21,0,5,3,0,,,32,,1,10,0,0,0,,0,1,,0,,68,0,0,0,,0,1,,,,,0,27,1,,0,,0,0,1,,0,7,6,2,,0,2,0,57,0,,,0,2,,0,1,18,6,,0,108,42,0,,,,,0,0,,0,0,0,0,7,,41,0,3,1,0,,1,9,0,4,1,0,2,,,1,,,0,,0,28,,0,,,1,21,,2,0,,0,0,0,0,0,,0,1,,15,,,1,2,0,0,0,0,6,,0,0,0,74,,0,,60,,0,0,0,0,24,22,0,,,37,11,0,0,,0,0,1,22,0,0,,0,1,2,,,4,,0,6,,,,0,0,0,1,30,0,3,,0,2,0,0,,0,4,2,,,,0,19,,3,3,0,,0,0,0,,0,0,0,,"1,401"
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,29
Grenada,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,0,,,,,,,3
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,9,,,,,,,,,,,,,,,,,,,,,1,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,2,,,,,,243
Guatemala,,,,,,,,0,,,0,,,,,,0,,,1,,,,0,,,0,,,,,,,,0,,,,,0,3,2,,,,4,,,,,,,,,,0,0,0,36,,,,0,,,,3,,,,,2,,,,,,,,,0,0,26,,,,0,0,0,0,,,0,1,0,1,,,,,,4,,0,,,,0,,,,,,,,,,,0,,,,,,,27,,,,,,,,,,,0,,,11,,,,,,0,,1,,0,1,0,,0,,,,,,,,,0,,,,,,,,,,,,,11,,,,,,,,,1,1,0,,,,,,,0,,0,,,,,,,0,18,0,,,0,0,,0,,,,157
Guinea,,,,,,,,,,,,,,,,,,,3,,1,,,,,,0,,,0,,0,,,0,,,,,,0,,,,,,2,,,,,,,,,,,,,,,,,,,,13,,,1,,2,0,,,,,,,0,,,,,,,,,0,,,,,0,,0,,,,,,0,,,,,,5,,80,,,,,,,,,0,,7,,,,,,,,,,,,,,,,,,,,0,8,,,,0,,,,,,,,0,,,,0,,,,,0,8,,,51,,,,,,,,,0,,,,,,,,,,,0,,,,,0,,,,,,,,,0,,,1,,,,,,,,,,,186
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,14,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,21
Guyana,,,,,,,0,,,,,,,,,,0,,,,,,,,,,3,,,,,,,,0,,,,,,6,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,,,,,,,,,,,0,,,,,,,,,0,3,,,,0,,,,,,,14
Haiti,,,,,,,,0,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,4,2,,,,2,,,,,,,,,,13,,,,,,,,,,,11,,,,,7,,,,,,,,,,,,,,,,,,,,,,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,3,,,,,,,,,,,,,,,,,,7,0,,,1,,,,,,,87
Honduras,,,0,,,,,0,,,0,0,,,,,0,,0,0,,,,0,,,0,,,,,,,,0,,,,,0,2,1,,,,2,,,,,,,0,,,0,1,0,13,,,,,,,0,1,,,,,1,,0,,,,13,,,0,0,,,,,0,,0,,,,0,0,0,0,0,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,2,,,,,,0,,,,,0,,0,7,,,,0,,,,1,,0,0,,0,0,,,,0,,,,,,,,,,,,,,,,0,,3,,,,,0,,0,,0,0,0,,,,,,,0,0,0,,,,,,,0,11,0,,,0,,,0,,,,62
"Hong Kong SAR, China",,,,,,,,,,,43,,,,,1,,,,,,,,,,,,,,,,,,,13,,,,,,"15,636",,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,8,,,,,,,,,,,,,,,97,291,,,1,,,2,,53,,,,,,12,,,,,,,,,,,,,26,,,,14,,,,,,,,,,,,,,,,,30,2,,1,,,,,,,22,,,,,,564,,0,,,,0,,,,,,,,,,,,,,,,,,4,3,,,,,,,,,3,,,,112,,,,,,,,,,,,,6,28,,,,,53,,,,,,"17,052"
Hungary,0,0,1,,,0,,0,1,,5,49,0,,,0,0,0,37,0,0,0,,0,0,0,1,,3,,,,0,0,2,,,,,0,71,0,,0,,0,0,4,,,0,8,2,,,0,0,4,0,,,0,0,,,3,52,,,0,1,129,0,1,,0,,0,0,0,0,,0,,,1,5,0,2,0,1,,4,11,0,5,2,0,0,,,3,,0,0,0,0,4,0,0,,,1,4,,0,0,,0,,0,0,,,0,1,,1,,5,0,0,0,0,0,0,5,,0,0,0,23,,5,0,1,,0,0,0,0,1,8,1,,1,220,3,0,,,,0,0,70,,0,,,84,2,,,0,,11,0,0,,,0,0,,,19,10,1,0,0,4,,0,,0,1,1,,,,0,42,,2,17,0,,,0,14,,0,1,0,,974
Iceland,0,0,0,,,0,,0,0,0,0,1,0,,,0,0,0,2,0,0,0,,0,0,,0,,0,0,,0,0,0,0,,,,,0,3,0,,0,,0,0,0,,,0,1,16,0,0,0,0,0,0,,,0,0,4,0,1,6,,,0,0,6,0,0,,,,0,0,0,0,0,0,,1,,2,0,0,0,0,,0,1,0,0,0,0,0,,,0,,0,0,0,2,0,,0,,,6,4,,0,0,0,0,,0,0,,,0,0,,0,,0,0,0,0,0,0,0,1,,0,0,0,1,,4,0,0,,0,0,0,0,7,18,1,,0,0,0,0,,,,0,0,1,,0,,,1,0,0,,0,,3,1,,,,,,,,21,1,0,0,0,6,,0,0,0,0,0,,,,0,0,,0,4,0,,,0,3,,0,,0,,136
India,1,,,,,,,,,,3,,,,,"4,163",,,,,,,1,,,,,,,,,,,,1,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,0,,15,,,,,8,,,,,,,,,,,,,,,,1,1,0,,,,,,3,,0,5,,,,,0,,,,,,,,,,,,,,,11,0,,,,,0,,,,,,,,,3,,832,,,,,,9,,,,"2,061",,,,,,,,0,,,,1,,,,,4,,,,,,,,,,,,,,488,,,,,,,,,,,,,,,,,,,0,,,,1,,,2,6,,,,,2,,,,0,,"7,663"
Indonesia,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,60,41,,,,,67,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,10,,,,,,,,,14,,,,,,12,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,95,24,,,,,,,,,,,,10,23,,,,,,,,,,,791
"Iran, Islamic Rep.",262,,,,,,,,6,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,356
Iraq,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,12,,,,,,,,34,,,,,,,0,,,,12,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,56,,,,,,,,1,3,,,,,,,,,,,,,,,8,3,,,188
Ireland,0,1,1,,,0,0,0,0,0,26,4,0,,,6,0,1,35,0,0,13,0,0,1,0,13,,3,0,0,0,0,1,4,,,,,0,72,,0,0,,0,0,2,,0,0,29,5,0,0,0,0,7,0,,,7,0,0,0,3,123,0,,0,2,48,0,1,,0,,1,0,0,0,0,0,0,64,0,85,1,1,0,,,1,21,0,4,1,0,3,0,,1,,0,0,0,46,3,0,1,,,142,5,,0,0,0,3,0,0,2,0,,4,1,0,8,,2,0,2,0,0,0,1,8,1,1,0,0,392,,2,0,22,,0,0,0,1,60,217,5,,2,18,4,0,0,,,2,0,2,0,0,,0,38,1,0,,10,,70,2,0,0,,0,0,0,0,21,4,0,0,0,10,0,0,0,0,1,0,,,,2,6,,99,58,0,,0,0,7,,0,0,0,,"1,886"
Isle of Man,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,,,,,,,,,,,20
Israel,0,,52,,,,,22,,,16,29,21,,,,,19,129,,,,,,,,12,,21,,,,,,7,,,,,0,4,5,,,,,,,,,,,10,,,,,114,,,,,65,,,1,531,,,,28,91,,3,,,,,,,,,,,97,,90,,43,8,,,,14,,,,1,,,,,,,9,,9,67,,,,,16,,,,,,,,,,,,,5,,28,,,,369,,,,,8,,,,,,,,,,,,,,4,,113,,,,104,78,,,,,,,,,,,,,,,,15,,17,,,,,,1,,,8,17,4,14,,,,,,,80,10,,,,,194,,8,175,2,,,0,,,,71,,,"2,861"
Italy,1,404,28,,,0,0,47,3,,100,68,1,,,172,0,21,"1,049",0,2,,0,22,12,0,155,,72,2,0,7,0,8,24,,,,,0,"1,171",66,0,0,,7,14,37,,,0,44,20,0,0,128,195,554,27,,,3,26,,0,11,"1,828",,,3,26,875,8,17,,0,,10,1,0,0,1,9,,94,3,571,4,11,0,4,,11,,1,34,16,0,11,0,,10,94,0,4,0,7,75,0,6,,,22,152,,40,6,0,1,0,2,11,0,,15,13,0,382,,1,6,959,0,0,0,4,23,,1,2,1,962,,7,0,187,,5,0,2,206,565,242,15,,2,"1,005",55,1,0,,0,1,304,175,2,1,,,30,16,0,,8,,272,300,0,0,,0,0,0,0,81,872,2,1,0,51,0,6,0,0,392,7,,,0,4,305,,25,130,3,,0,9,21,,0,1,0,,"16,152"
Jamaica,,,,,,,0,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,0,,2,,,,,1,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,1,,,,,,,,,3,20,,,,,,,,,,,38
Japan,,,,,,,,3,,,63,4,,,,29,,,17,,,,,,,,504,,,,,,1,,12,,,,,,"4,215",,,,,,,,,,,,3,,,,,10,,,,,,,,2,119,,,,,25,0,,,,,,,,,,,,,,108,59,5,,1,,,7,,,,,,,,"1,714",,,,,,,,,,,,,,,,,8,,,,,,,4,,,,,,,,0,,,2,,3,,,59,,2,,28,,,,,127,"1,005",2,1,,,,6,,,,,,,,,,,,,,,,,,17,39,,,,,,,,18,5,,,,257,,,,,,,,,,,,,7,130,,,,,167,,,,,,"8,790"
Jordan,0,0,0,,,,,0,0,,1,1,0,,,15,,0,1,,0,,0,0,0,,0,,0,0,,,,,0,,,,,0,44,0,0,0,,0,0,0,,,0,0,0,0,0,0,,"1,285",0,,,0,0,,,0,4,,,0,0,2,0,0,,0,,0,0,0,,0,0,0,4,0,20,15,0,43,0,,3,1,0,0,,0,0,,,0,,0,0,0,0,16,,0,,,0,0,0,0,0,0,0,,0,0,,,0,0,,0,,0,0,1,0,0,0,0,0,,0,0,0,0,,0,1,6,,0,0,,0,12,0,0,,5,0,0,,,,,4,0,0,0,0,,,0,0,,,0,,2,35,,,,,0,,0,1,1,254,0,0,0,0,0,,,1,0,,,,0,0,,0,5,,,,0,0,,"1,108",4,0,,"2,901"
Kazakhstan,,,,,,,,,22,,,,73,,,,,39,,,,,,,,,,,4,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,6,364,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,18,,6,,,,,,13,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,"1,521",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,,,,,,,,29,,,,,323,,,,,,,,,,,,,,"2,806"
Kenya,0,0,0,,,0,0,0,0,,2,1,0,,,0,0,0,7,0,0,,0,0,0,1,0,,0,0,0,1,0,2,1,,,,,0,8,0,3,0,,0,0,0,,,0,0,7,1,0,0,0,14,0,,,0,7,,0,1,9,4,,0,0,6,0,0,,0,,0,0,0,0,0,0,,1,0,78,0,0,0,0,,0,4,0,2,0,0,,0,,1,,0,0,0,0,1,0,0,,,0,0,,0,0,0,0,0,0,2,0,,0,0,0,0,,0,0,0,0,0,0,0,1,,0,0,0,14,,1,0,2,,0,,0,0,1,0,0,,0,0,0,2,0,,0,1,0,0,1,0,,,0,0,0,,1,,1,1,0,,,0,4,0,0,4,2,0,0,6,0,0,0,0,0,2,0,,,0,51,0,,3,7,0,,0,0,0,,,3,0,,277
Kiribati,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,0,,,,,,,,,,,2
"Korea, Dem. Rep.",,,,,,,,,,,1,,,,,0,,,,,,,,,,,3,,,,,,,,0,,,,,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,2,,,,,,,,1,,,,,,12,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,10,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,3,,,,,,,,,,,,,0,2,,,,,2,,,,,,192
"Korea, Rep.",,,,,,,,,,,25,,,,,24,,,,,,,,,,,,,,,,,5,,16,,,,,,"4,147",,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,7,,,,,,,,,,,,,,,28,68,,,,,,,,88,,0,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,0,,30,,,1,,,32,,,,27,,,,,,214,,,,,,3,,,,,,,,,,,,,,,,3,,,80,,,,,,,,,,,,,187,,,,,,,,,,,,,2,156,,,,,522,,,,,,"5,804"
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,0,,,,,,,,,,,,,,,896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,211",,,,,4,,,,35,,,,,,,,,,,,,,,,,,,,"4,740",205,44,,,,,,,,198,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,7,,,,232,1,,,,,45,,,,882,,,,,,856,,,,6,,,,,,,2,,,,,,,,,,,,,,127,,,,,19,,,,,79,,,17,,,,,6,5,,,,,,,3,9,,,,,,,12,172,,,"11,893"
Kyrgyz Republic,,,,,,,,,6,,,,7,,,,,8,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,0,,,,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,2,,,,,,12,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,0,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,0,,,,,35,,,,,,,,0,,,,,,194
Lao PDR,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,34,,,,,,59
Latvia,0,,0,,,,,0,2,,1,1,4,,,,,45,2,,,,,,,,0,,0,,,,,,0,,,,,,1,,,,,,,,,,0,1,1,,,,,0,,,,8,,,,1,2,,,,4,10,,0,,,,,,,,,,,2,0,1,,0,,1,,0,1,,0,,0,,,,0,,,3,,,0,,,,,82,0,,,,,,,,0,,,,0,,5,,0,,0,,,,0,0,,,,,0,,1,,0,,,,,,,2,0,,,0,109,,,,,,,0,,,,,0,0,,,,,1,0,,,,,,,,3,0,0,4,,0,,,,,,0,,,,,55,,0,1,,,,0,,,,,,,357
Lebanon,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,500,,,,,,,,,2,,,,,1,,,,,,,,,,,,,1,,8,6,,16,,,1,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,2,,,,,,5,,,,,,0,,,,,2,,,,,,,,,,,,,,14,,,,,0,,,,,282,,,,,,,,,0,,,,,0,,0,2,,,,,,,310,1,,,"1,181"
Lesotho,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0,,,,,0,,,,,,,,,,,0,,,,0,,,,,,,,,0,,2
Liberia,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,0,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,0,,,1,,0,1,,,,,,6,0,,,,,,,3,,,,,,,0,,,,,,,,,,,,,,9,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,0,74,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,0,,,,,,,,,1,0,,,,,,0,,,,,,,,,,,0,1,,,,,,,,,,,149
Libya,0,0,4,,,,,,1,,3,4,,,,2,,1,14,,,,,,0,,0,,,,,,,,2,,,,,,18,,9,0,,,0,,,,,,4,3,,,,104,2,,,,1,,,3,61,,,,,26,0,2,,,,,,0,,,,,2,,21,24,0,8,,,,17,,4,85,0,1,,,2,,0,,,,110,,,,,,,,,,,7,,1,,,,,,,,,,,10,,,,,3,,,,0,51,,1,3,6,,,,,,17,1,,,35,1,5,,,,,32,4,,,0,,,,,,,1,,6,1,,,,,4,,,8,4,11,4,0,15,,,,,10,1,,,,,1,,2,21,,,,,,,168,43,,,"1,015"
Liechtenstein,,,,,,,,,,,,13,,,,,,,0,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,,,,0,,,,0,0,,,,,,,,,0,,,,0,1,,,,,6,,0,,,,,,,,,,,0,0,,,,,0,,,3,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,0,,,,,,,,,0,2,,,,,,,,,,,1,,,,,0,0,,,,,3,,,,,,,,,0,16,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,49
Lithuania,0,0,0,,,,,0,2,,0,0,2,,,,,47,3,,,,,,,,0,,0,,,,,,0,,,,,,2,,,,,,,,,,0,0,1,,,,,0,,,,3,,,,0,4,,,,3,8,,0,,,,,,,,,,,1,0,0,,0,,1,,0,1,,0,,0,,,,0,,,2,,23,1,,,,,,1,,0,,,,,,,,,,0,,2,,0,,,,,,,0,,,,,0,,1,,0,,,,,0,,7,0,,,0,64,,,,,,,,,,,,0,,,,,,5,,,,,,,,,2,0,0,4,,0,,,,,0,0,,,,,28,,1,3,0,,,,0,,,,,,224
Luxembourg,,0,0,,,0,,0,0,,0,5,0,,,0,0,0,397,,0,,,0,3,,0,,1,0,0,2,0,0,0,,,,,0,8,0,,0,,0,0,1,,,0,4,12,,0,0,0,0,,,,1,0,,0,4,429,,,,0,50,0,1,,,,0,0,,0,0,,,8,2,1,0,0,0,2,,0,51,0,1,0,0,0,,,0,,,0,,1,0,,0,,,2,,,0,0,,0,,0,2,,,0,0,,0,,0,16,1,0,,,0,7,,0,0,0,0,,1,,0,,0,0,0,0,1,6,193,,,2,0,0,,,,,0,19,0,0,,,2,2,,,0,,34,0,,,,,0,,,22,2,0,,,1,,0,,0,1,0,,,,0,0,,2,3,0,,,0,0,,0,,,,"1,308"
"Macao SAR, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,"2,315"
