"Bilateral Remittance Estimates for 2014 using Migrant Stocks, Host Country Incomes, and Origin Country Incomes (millions of US$) (April 2015 Version)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remittance-receiving country (across) - Remittance-sending country (down),Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China","Macedonia, FYR",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe,World
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,21,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,32,612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,697
Bermuda,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,,0,0,0,,0,,0,0,,0,0,0,2,,,,,0,0,0,,0,,0,0,0,,,0,0,0,,0,0,0,0,0,,,0,0,,0,0,1,,,0,0,1,0,0,,0,,0,,,0,3,0,0,0,0,3,0,0,0,0,,0,0,3,0,0,,0,0,,0,,0,,0,0,0,0,,,,0,0,,0,0,0,0,0,,0,,,0,0,,,,,,0,,0,0,0,0,,0,0,,1,,0,0,0,,0,0,,0,6,0,4,,0,0,0,0,,,,0,0,0,0,0,,,0,0,,,0,,0,1,0,0,,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,,,0,0,0,,1,8,0,,,0,0,,0,0,0,,42
Bhutan,,,,,,,,,,,0,0,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,5,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,170,,,,,,,0,,0,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,1,0,,0,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0,,,,0,,,,,,,,,,,,,0,0,,,,,,,,,,,180
Bolivia,0,,0,,,0,,18,0,0,0,1,0,,,0,,0,6,1,0,,,,0,,27,,0,,,0,,0,1,,,,,0,5,4,,0,,0,0,0,,,0,0,0,,0,0,1,0,0,,,0,0,,,0,9,,,,0,6,0,0,,,,0,0,,0,0,1,,0,,0,0,0,0,0,,0,3,0,5,0,0,0,,,1,,0,0,,,0,,0,,,0,0,,0,0,0,0,,0,0,,,,14,,0,,0,0,0,0,,,0,0,,0,0,0,0,,0,,0,,0,0,2,15,0,0,0,,0,0,0,0,,,,0,0,0,,0,,,0,0,0,,0,,90,0,,,,,0,,,2,2,0,0,0,0,,0,,0,0,0,,,,,0,,0,9,0,,,0,0,,0,,0,,227
Bosnia and Herzegovina,,0,,,,,,0,,,0,1,,,,,,0,0,,,,,,,,0,,0,,,,,,0,,,,,0,0,,,,,,,12,,,,0,0,,,,,,,,,,,,,,1,,,,,1,,0,,,,,,,,,,,1,,,,,0,,,,0,,,0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,4,,,,,,0,,0,,,,,,,,,,,,0,,0,,,,0,0,,,,,,,15,,,,,7,5,,,0,,,,,,,,,,,0,0,0,,,,,,,,,0,,,,,0,,0,0,,,,,,,,,0,,49
Botswana,,,,,,0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,22,,,0,,,,,,,,,2,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,35,,,,1,,,1,,,,,2,,,,,,,,,,4,,,,,,,,1,1,,,,,,,3,,,,,,,,0,,0,,1,,,,,11,,2,,1,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,39,,,6,,,,,,,0,5,,,,1,,,,,,,,,,,4,,,3,3,,,,,,,,,3,,159
Brazil,0,,0,,,0,,15,0,,3,13,,,,0,0,0,36,0,0,,,49,0,,,,0,0,0,1,0,0,1,,,,,0,111,11,,0,,2,0,1,,,,2,3,,0,1,3,15,1,,,0,0,,,2,121,,,,0,62,0,1,,0,,1,0,1,1,0,0,,11,3,4,1,0,0,,,5,97,0,180,4,0,0,0,,21,,0,,0,0,122,,0,,,3,2,,0,0,0,0,0,0,0,,,,4,,,,,0,1,1,0,0,0,5,,0,1,0,19,,2,0,1,,3,,24,25,1,6,285,,,2,1,0,,,0,0,1,1,0,0,,,1,1,,,2,,273,0,0,0,,0,0,0,,7,13,1,0,0,2,0,0,,0,0,0,,,,0,1,,2,52,8,,,0,0,,,,,,"1,660"
Brunei Darussalam,,,,,,,,,,,4,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,57,1,,,,,,,,375,,,,,,26,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,2,,16,,,,,,,1,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,143,,,,,,,,,,,,,2,1,,,,,,,,,,,677
Bulgaria,0,1,0,,,0,0,0,4,0,1,1,3,,,1,0,0,9,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,,,,,0,5,0,,0,,0,0,0,,,0,4,0,0,0,0,0,1,0,,,0,0,,0,0,7,,,0,1,8,0,4,,,,0,0,0,0,0,0,,3,1,1,0,0,0,0,,1,3,0,0,1,0,0,0,,0,,0,0,0,0,6,,0,,,0,0,,1,0,,0,0,0,0,0,,0,0,,4,,0,0,0,0,,0,0,0,,0,0,0,1,,0,0,0,,0,0,0,0,0,2,0,,0,6,13,0,0,,,0,0,6,,0,,,1,0,,,0,,14,0,,,,,0,0,0,1,1,0,1,0,0,,,0,,0,1,,,0,8,8,,1,3,0,,0,0,2,,,0,0,,150
Burkina Faso,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,183,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,6,53,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,295
